step,loss
10,3.16720000
20,3.80760000
30,3.90580000
40,3.18450000
50,2.82320000
60,2.40430000
70,3.20270000
80,3.88210000
90,2.67690000
100,2.55340000
110,2.66640000
120,2.68990000
130,2.07160000
140,2.56840000
150,2.19080000
160,2.42670000
170,2.51780000
180,2.72820000
190,2.94740000
200,2.47640000
210,2.64610000
220,2.14540000
230,2.24000000
240,2.61400000
250,3.33780000
260,2.62500000
270,1.77540000
280,1.90210000
290,2.03190000
300,2.71690000
310,2.06990000
320,2.00640000
330,2.36620000
340,2.36250000
350,2.34180000
360,2.69190000
370,2.48970000
380,1.85470000
390,3.06310000
400,2.29740000
410,1.82380000
420,2.17990000
430,2.39940000
440,2.59640000
450,1.94870000
460,2.53810000
470,2.69870000
480,2.09990000
490,1.99800000
500,1.38020000
510,2.03460000
520,1.95140000
530,1.58430000
540,1.88710000
550,1.97780000
560,1.83510000
570,1.75550000
580,1.35240000
590,1.84790000
600,2.12510000
610,1.73230000
620,2.25000000
630,2.02430000
640,2.92990000
650,2.48190000
660,2.08990000
670,1.90830000
680,1.97270000
690,2.06260000
700,1.67630000
710,2.09550000
720,1.54170000
730,1.46270000
740,2.61120000
750,1.98440000
760,1.98370000
770,2.25700000
780,2.64360000
790,1.46700000
800,1.79180000
810,2.79970000
820,1.97720000
830,2.97280000
840,1.33820000
850,1.92140000
860,1.71710000
870,1.71790000
880,2.22540000
890,2.30570000
900,1.32150000
910,1.70630000
920,1.41900000
930,1.69530000
940,1.76680000
950,1.85710000
960,2.98100000
970,2.32070000
980,1.39650000
990,1.35110000
1000,1.85410000
1010,1.66620000
1020,1.90650000
1030,1.85490000
1040,1.40820000
1050,1.86220000
1060,1.56330000
1070,1.70100000
1080,2.87680000
1090,1.67740000
1100,1.62970000
1110,1.48540000
1120,2.30660000
1130,1.68350000
1140,2.37730000
1150,2.42780000
1160,2.18150000
1170,1.72420000
1180,1.02210000
1190,1.65320000
1200,2.15670000
1210,1.66710000
1220,2.06830000
1230,1.38090000
1240,1.82730000
1250,1.55680000
1260,1.61070000
1270,2.01980000
1280,2.03220000
1290,1.95470000
1300,2.47530000
1310,1.97580000
1320,1.72830000
1330,1.88190000
1340,1.93650000
1350,1.06150000
1360,1.93090000
1370,1.98730000
1380,1.72210000
1390,2.22930000
1400,1.20930000
1410,1.84300000
1420,3.12390000
1430,2.68760000
1440,2.14170000
1450,1.39900000
1460,2.70930000
1470,2.16730000
1480,1.81660000
1490,1.58470000
1500,1.74430000
1510,2.13200000
1520,2.08050000
1530,2.22860000
1540,2.20920000
1550,2.41610000
1560,1.03990000
1570,2.46410000
1580,1.90070000
1590,1.70790000
1600,1.52130000
1610,1.91380000
1620,1.63340000
1630,1.54970000
1640,1.21610000
1650,1.67020000
1660,2.37050000
1670,1.64200000
1680,1.31980000
1690,1.53280000
1700,1.43630000
1710,1.88190000
1720,1.73090000
1730,0.77520000
1740,1.76270000
1750,2.68320000
1760,2.61590000
1770,1.62450000
1780,2.78780000
1790,1.58740000
1800,2.19490000
1810,1.71450000
1820,1.49210000
1830,2.14110000
1840,1.49330000
1850,1.67220000
1860,2.39570000
1870,2.79010000
1880,2.03660000
1890,1.85500000
1900,1.86230000
1910,1.86340000
1920,1.65340000
1930,1.83950000
1940,1.90660000
1950,2.23440000
1960,2.23100000
1970,2.56430000
1980,2.04390000
1990,1.98490000
2000,1.55650000
2010,1.54430000
2020,1.86350000
2030,1.68190000
2040,1.82410000
2050,1.74350000
2060,1.87750000
2070,1.41990000
2080,2.15720000
2090,1.92110000
2100,1.86670000
2110,1.69970000
2120,1.69960000
2130,1.22880000
2140,1.85410000
2150,2.06200000
2160,1.62100000
2170,1.54150000
2180,1.08270000
2190,1.62730000
2200,1.73650000
2210,1.44430000
2220,2.36170000
2230,1.38320000
2240,1.73220000
2250,0.92990000
2260,2.66500000
2270,1.78210000
2280,1.06530000
2290,2.37030000
2300,1.89560000
2310,1.82350000
2320,1.96120000
2330,1.50000000
2340,1.09410000
2350,2.20690000
2360,1.97340000
2370,1.67600000
2380,2.18250000
2390,1.58070000
2400,2.53470000
2410,1.33200000
2420,1.59020000
2430,1.51550000
2440,2.03640000
2450,2.31670000
2460,2.04490000
2470,2.08840000
2480,1.19640000
2490,1.81940000
2500,2.28360000
2510,1.91100000
2520,2.15150000
2530,2.09990000
2540,1.29200000
2550,1.90040000
2560,1.86910000
2570,1.77100000
2580,2.39300000
2590,1.32620000
2600,1.94500000
2610,1.88540000
2620,1.72420000
2630,1.85950000
2640,1.51610000
2650,2.22350000
2660,2.10180000
2670,2.11200000
2680,1.69390000
2690,1.57890000
2700,1.86560000
2710,2.17330000
2720,1.68060000
2730,1.62730000
2740,2.01980000
2750,1.43750000
2760,2.12670000
2770,1.38170000
2780,2.24890000
2790,2.10400000
2800,1.94460000
2810,1.56180000
2820,1.92350000
2830,1.49160000
2840,1.56980000
2850,1.35660000
2860,1.65700000
2870,2.02790000
2880,1.52400000
2890,1.94730000
2900,1.78090000
2910,1.02730000
2920,1.63490000
2930,1.83870000
2940,1.82330000
2950,1.95980000
2960,1.52800000
2970,1.60580000
2980,1.82120000
2990,1.26550000
3000,2.11370000
3010,2.26570000
3020,1.50480000
3030,1.59600000
3040,1.13180000
3050,1.72090000
3060,2.19080000
3070,1.59980000
3080,1.85540000
3090,1.42730000
3100,2.33430000
3110,2.38440000
3120,1.38020000
3130,1.33650000
3140,2.01320000
3150,2.61890000
3160,1.22280000
3170,2.63000000
3180,1.61860000
3190,1.47740000
3200,1.97500000
3210,1.72950000
3220,1.27010000
3230,1.01050000
3240,1.38220000
3250,1.58630000
3260,1.28280000
3270,1.99980000
3280,1.41450000
3290,1.71380000
3300,1.56630000
3310,1.13760000
3320,2.05820000
3330,1.50280000
3340,1.16600000
3350,1.58910000
3360,1.35480000
3370,1.57170000
3380,2.27100000
3390,1.85710000
3400,1.67990000
3410,1.78770000
3420,2.12310000
3430,1.63030000
3440,3.00920000
3450,1.60580000
3460,2.11030000
3470,0.94990000
3480,1.68360000
3490,1.84270000
3500,1.37900000
3510,2.57300000
3520,1.87340000
3530,1.63190000
3540,2.05620000
3550,1.98330000
3560,1.39460000
3570,1.88890000
3580,1.17850000
3590,1.26170000
3600,1.27340000
3610,2.51780000
3620,2.23200000
3630,1.84330000
3640,1.85400000
3650,2.06130000
3660,1.58280000
3670,1.46630000
3680,2.03640000
3690,1.13720000
3700,2.13310000
3710,1.79540000
3720,2.58140000
3730,1.81100000
3740,2.38650000
3750,1.83700000
3760,1.08240000
3770,1.50320000
3780,1.73870000
3790,1.66110000
3800,1.56880000
3810,1.54260000
3820,1.17670000
3830,1.56140000
3840,1.80520000
3850,1.45220000
3860,1.12650000
3870,1.59250000
3880,1.24420000
3890,2.47260000
3900,2.40040000
3910,1.86030000
3920,1.90460000
3930,1.73530000
3940,1.18500000
3950,1.32510000
3960,1.46430000
3970,2.18680000
3980,1.58780000
3990,1.23330000
4000,2.12030000
4010,1.91660000
4020,1.04870000
4030,2.09210000
4040,1.72010000
4050,1.21100000
4060,1.57360000
4070,2.36200000
4080,1.42480000
4090,1.52890000
4100,1.52750000
4110,1.69370000
4120,1.11650000
4130,1.73990000
4140,1.79490000
4150,1.49010000
4160,1.74450000
4170,1.89070000
4180,1.85210000
4190,1.60090000
4200,1.87900000
4210,1.71230000
4220,1.41160000
4230,1.43300000
4240,1.82370000
4250,1.32400000
4260,1.69690000
4270,1.62350000
4280,1.66300000
4290,1.49060000
4300,1.81660000
4310,2.26560000
4320,1.77160000
4330,1.77000000
4340,1.35880000
4350,1.44690000
4360,1.48160000
4370,0.96580000
4380,2.16620000
4390,1.28350000
4400,1.30420000
4410,1.57950000
4420,0.78870000
4430,2.40600000
4440,1.55220000
4450,2.18980000
4460,1.67070000
4470,1.70280000
4480,1.67260000
4490,1.82990000
4500,1.35070000
4510,1.64280000
4520,1.11860000
4530,2.50550000
4540,1.46570000
4550,1.43240000
4560,1.86470000
4570,2.20710000
4580,2.03220000
4590,1.10230000
4600,1.61740000
4610,2.36490000
4620,1.69800000
4630,1.01470000
4640,1.03580000
4650,2.26640000
4660,1.08500000
4670,2.22730000
4680,1.85960000
4690,2.16160000
4700,1.38700000
4710,1.64600000
4720,0.88820000
4730,0.82200000
4740,1.58300000
4750,1.22810000
4760,2.02380000
4770,1.94660000
4780,2.51300000
4790,1.59460000
4800,2.18470000
4810,0.99490000
4820,1.81000000
4830,1.80330000
4840,1.62880000
4850,2.37430000
4860,1.74500000
4870,1.65060000
4880,1.63760000
4890,1.86590000
4900,1.31130000
4910,1.78380000
4920,1.98920000
4930,1.53820000
4940,2.73870000
4950,1.30580000
4960,1.27480000
4970,1.63470000
4980,1.69820000
4990,1.14850000
5000,1.70830000
5010,1.69660000
5020,1.69460000
5030,1.44830000
5040,1.66760000
5050,1.17760000
5060,1.18320000
5070,1.67000000
5080,1.45540000
5090,1.04850000
5100,1.67030000
5110,2.13530000
5120,1.81540000
5130,1.89410000
5140,1.78090000
5150,2.09580000
5160,1.32980000
5170,2.01190000
5180,1.50600000
5190,2.05550000
5200,1.39650000
5210,1.35710000
5220,1.56980000
5230,1.99930000
5240,1.49200000
5250,2.20070000
5260,2.05760000
5270,2.21670000
5280,1.54830000
5290,1.97760000
5300,1.07050000
5310,1.25790000
5320,2.01220000
5330,1.32730000
5340,1.84180000
5350,1.68860000
5360,1.94820000
5370,1.56670000
5380,1.58170000
5390,2.17500000
5400,1.36130000
5410,1.26100000
5420,1.78690000
5430,1.47860000
5440,1.13960000
5450,1.61970000
5460,1.09290000
5470,1.72220000
5480,1.51500000
5490,1.52210000
5500,1.86400000
5510,1.55820000
5520,1.29160000
