step,loss
1930,2.77160000
1940,2.47810000
1950,2.70910000
1960,2.81410000
1970,3.23360000
1980,2.55700000
1990,2.59020000
2000,2.15030000
2010,1.81930000
2020,2.30200000
2030,2.64310000
2040,2.44840000
2050,2.40280000
2060,2.69000000
2070,2.05890000
2080,2.78440000
2090,2.31720000
2100,2.41630000
2110,2.28760000
2120,2.68250000
2130,2.21910000
2140,2.68520000
2150,2.31040000
2160,2.64020000
2170,2.30750000
2180,1.99820000
2190,2.07150000
2200,1.92860000
2210,1.99520000
2220,2.70310000
2230,2.17640000
2240,2.57920000
2250,1.77990000
2260,3.66140000
2270,1.91980000
2280,1.65850000
2290,2.98910000
2300,3.17810000
2310,2.06930000
2320,2.92550000
2330,2.16180000
2340,1.65370000
2350,2.82060000
2360,2.63720000
2370,2.00230000
2380,2.88990000
2390,2.30710000
2400,3.28350000
2410,1.99090000
2420,2.10070000
2430,2.57600000
2440,2.40750000
2450,3.19040000
2460,2.86160000
2470,3.07290000
2480,2.15670000
2490,2.74900000
2500,2.97080000
2510,2.44160000
2520,2.64210000
2530,2.52590000
2540,1.86990000
2550,2.39020000
2560,3.11880000
2570,2.80470000
2580,3.04150000
2590,2.60930000
2600,3.26730000
2610,2.31780000
2620,2.78500000
2630,2.73140000
2640,2.08590000
2650,3.28400000
2660,3.52460000
2670,3.26740000
2680,2.44340000
2690,3.12610000
2700,2.75890000
2710,3.37390000
2720,2.87090000
2730,3.43370000
2740,3.13090000
2750,2.59000000
2760,3.89770000
2770,3.18850000
2780,2.93180000
2790,3.50560000
2800,2.74820000
2810,2.35110000
2820,2.95200000
2830,2.44850000
2840,2.66660000
2850,2.70880000
2860,3.01930000
2870,3.10920000
2880,3.08630000
2890,3.43510000
2900,3.59910000
2910,2.97730000
2920,2.77540000
2930,3.09510000
2940,2.66700000
2950,3.10490000
2960,2.84160000
2970,2.88640000
2980,2.78050000
2990,4.46060000
3000,5.46260000
3010,6.45660000
3020,7.28060000
3030,9.34100000
3040,8.67260000
3050,8.09120000
3060,8.32390000
3070,8.80900000
3080,9.00140000
3090,8.60700000
3100,8.55090000
3110,8.55250000
3120,9.04270000
3130,9.27000000
3140,8.12440000
3150,8.66800000
3160,8.00960000
3170,8.05170000
3180,8.26460000
3190,6.92700000
3200,7.61910000
3210,7.03360000
3220,7.29520000
3230,8.41480000
3240,8.85080000
3250,8.78240000
3260,8.57910000
3270,8.24220000
3280,7.81530000
3290,6.91570000
3300,6.94970000
3310,7.23570000
3320,8.17770000
3330,8.38250000
3340,7.38550000
3350,8.22920000
3360,8.56560000
3370,8.06400000
3380,8.29430000
3390,6.55940000
3400,6.69530000
3410,7.25160000
3420,7.75670000
3430,5.53200000
3440,7.53350000
3450,6.96500000
3460,7.59660000
3470,6.05900000
3480,8.09590000
3490,6.67700000
3500,7.86290000
3510,6.63840000
3520,7.58900000
3530,7.02310000
3540,6.44930000
3550,8.11520000
3560,7.02500000
3570,6.93400000
3580,7.85900000
3590,7.40700000
3600,7.46330000
3610,7.31870000
3620,7.15140000
3630,7.01690000
3640,6.91300000
3650,7.08270000
3660,6.73000000
3670,7.05010000
3680,6.79470000
3690,7.43490000
3700,7.10280000
3710,5.71010000
3720,7.37030000
3730,6.97670000
3740,6.96670000
3750,6.40610000
3760,6.94590000
3770,6.59490000
3780,6.49320000
3790,7.97700000
3800,6.98220000
3810,7.11710000
3820,7.07910000
3830,6.82660000
3840,5.82940000
3850,7.77510000
3860,7.04700000
3870,5.47040000
3880,7.31920000
3890,7.09130000
3900,7.01620000
3910,7.45130000
3920,7.59910000
3930,6.98420000
3940,7.29300000
3950,6.68130000
3960,6.93610000
3970,6.29060000
3980,7.06350000
3990,7.22700000
4000,5.97550000
4010,7.46550000
4020,6.09250000
4030,7.04600000
4040,5.86470000
4050,6.51320000
4060,7.09760000
4070,8.96900000
4080,6.73420000
4090,6.50470000
4100,7.02410000
4110,7.75550000
4120,7.12580000
4130,5.99210000
4140,6.44340000
4150,7.48830000
4160,5.55260000
4170,6.54930000
4180,6.85230000
4190,6.12720000
4200,6.74130000
4210,7.49290000
4220,6.44520000
4230,5.79730000
4240,7.11100000
4250,6.57130000
4260,6.99810000
4270,6.99470000
4280,7.57770000
4290,6.67220000
4300,5.97760000
4310,7.18730000
4320,7.36010000
4330,5.72290000
4340,6.75930000
4350,7.35770000
4360,5.54310000
4370,7.62110000
4380,7.04390000
4390,7.72510000
4400,7.11240000
4410,6.57120000
4420,8.17200000
4430,6.96260000
4440,6.45120000
4450,6.22120000
4460,7.71040000
4470,6.35830000
4480,6.62150000
4490,7.05970000
4500,6.40260000
4510,6.22260000
4520,6.52870000
4530,6.94940000
4540,5.24300000
4550,7.59800000
4560,6.91940000
4570,7.22930000
4580,5.97410000
4590,6.98710000
4600,7.80440000
4610,7.13090000
4620,6.44910000
4630,5.72120000
4640,6.25270000
4650,7.62910000
4660,5.72430000
4670,5.78930000
4680,6.76160000
4690,5.98230000
4700,7.57760000
4710,6.96540000
4720,6.67540000
4730,7.31140000
4740,6.76070000
4750,5.45920000
4760,6.90260000
4770,5.54850000
4780,6.85100000
4790,5.71760000
4800,6.51550000
4810,5.62800000
4820,6.12450000
4830,7.35350000
4840,7.58430000
4850,6.17690000
4860,7.22700000
4870,6.48120000
4880,6.75150000
4890,6.43910000
4900,7.51800000
4910,6.77400000
4920,6.58830000
4930,6.08370000
4940,5.69190000
4950,6.48020000
4960,9.08710000
4970,7.26800000
4980,6.35760000
4990,6.52560000
5000,6.35010000
5010,5.94880000
5020,8.20720000
5030,6.48720000
5040,5.46570000
5050,5.57060000
5060,7.21220000
5070,6.44550000
5080,7.16670000
5090,6.27420000
5100,5.81050000
5110,6.56630000
5120,7.84820000
5130,7.04840000
5140,6.40210000
5150,5.21420000
5160,6.85530000
5170,5.93350000
